Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer,Meteorological observations as transcribed,Cloudy,Fair,Smokey,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other observations transcribed
3687,4483, APS-275669-003_01,Mss.551.5.M26,275669-3,1,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,wind,1789-01-18,sunrise,0:00,SE/W,SE/W,23,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3688,4487, APS-275669-003_02,Mss.551.5.M26,275669-3,2,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-19,2 O'Clock,14:00,,,46,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689,4488, APS-275669-003_02,Mss.551.5.M26,275669-3,2,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-19,4 O'Clock,16:00,S,S,46.5,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3690,4486, APS-275669-003_02,Mss.551.5.M26,275669-3,2,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-19,sunrise,0:00,S,S,39,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3691,4490, APS-275669-003_03,Mss.551.5.M26,275669-3,3,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-20,2 O'Clock,14:00,,,53,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,4491, APS-275669-003_03,Mss.551.5.M26,275669-3,3,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-20,4 O'Clock,16:00,S,S,52,,,,,,,,James Madison,overcast & small rain,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,,,
3693,4489, APS-275669-003_03,Mss.551.5.M26,275669-3,3,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-20,sunrise,0:00,S,S,46,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3694,4493, APS-275669-003_04,Mss.551.5.M26,275669-3,4,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-21,2 O'Clock,14:00,,,44,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3695,4494, APS-275669-003_04,Mss.551.5.M26,275669-3,4,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-21,4 O'Clock,16:00,E,E,41,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3696,4492, APS-275669-003_04,Mss.551.5.M26,275669-3,4,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-21,sunrise,0:00,E,E,42,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3697,4496, APS-275669-003_05,Mss.551.5.M26,275669-3,5,https://diglib.amphilsoc.org/islandora/object/text%3A275669-3,,,1789-01-22,2 O'Clock,14:00,,,33,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
